ID,Age,Gender,Working_Type,Sleep_Hours,Height_m,Required_Daily_Calories
5398,68.0,Female,Unemployed,6.627585318935732,1.8613740874709852,1898.5201574916464
3078,19.0,Female,Desk Job,5.671469354284422,1.732761662343164,2439.1732242133653
6051,50.0,Female,Freelancer,7.060029095746622,1.5093865171762555,1746.165518176968
6503,54.0,Male,Healthcare,4.154596766751791,1.8327960846321996,2461.167138283776
3602,27.0,Female,Desk Job,3.847020452554633,1.6246697489301525,2105.472452190976
9820,48.0,Male,Desk Job,9.422341127715129,1.6699346112139366,1802.4551007368384
933,68.0,Male,Unemployed,6.9,1.59,1673.0
34,20.0,Female,Unemployed,7.5,1.66,1623.0
305,20.0,Female,Retired,6.4,1.97,2243.0
8928,65.0,Female,Manual Labor,4.143669719600361,1.5845048410589289,2301.113147156186
1124,24.0,Male,Desk Job,6.1,1.79,2304.0
7856,44.0,Male,Healthcare,9.57244927513384,1.8420449445163865,2846.621030441984
9901,29.0,Male,Healthcare,7.562572329394135,1.8336913265730888,2572.160728804637
5707,52.0,Male,Manual Labor,8.252437561223266,1.922071735070846,3045.893728543493
2037,70.0,Male,Unemployed,9.535537241154056,1.8615027223566796,1559.0484735323205
1489,27.0,Male,Freelancer,5.1,1.96,2309.0
736,63.0,Male,Retired,5.2,1.83,1874.0
1497,59.0,Female,Student,6.4,1.76,2148.0
5437,45.0,Male,Self-Employed,8.060722866641141,1.7178301299609309,2059.147131767573
1579,25.0,Female,Retired,9.9,1.76,2417.0
8956,57.0,Female,Manual Labor,9.57043229962411,1.8553795550347945,2728.2422821110445
40,41.0,Male,Retired,9.1,1.78,2435.0
9594,21.0,Female,Healthcare,6.423058853188292,1.5365331575764398,1993.0960948362629
319,33.0,Female,Student,8.1,1.9,2910.0
6856,72.0,Female,Retired,4.404392190378814,1.6919024027761278,1947.6906929291256
4344,66.0,Female,Freelancer,7.70843653129502,1.5373138330735552,2130.9573045940247
5928,34.0,Female,Retired,7.430881434962606,1.7774538726339388,2334.9099930277507
4380,39.0,Female,Freelancer,8.966943803023996,1.674416964122902,2347.521916735721
4231,41.0,Female,Retired,9.116511653596516,1.787277878114604,2263.035285990965
674,67.0,Female,Unemployed,6.4,1.77,1876.0
3474,35.0,Male,Desk Job,8.667810292745738,1.81785283481185,2306.4509593193147
566,49.0,Male,Retired,7.7,1.96,1874.0
6399,42.0,Male,Healthcare,8.182780185216089,1.6552354698463738,2109.4353695020213
8776,64.0,Male,Freelancer,5.1350760258036745,1.8326036227882212,2476.2870644182767
7013,32.0,Female,Freelancer,7.960304273806789,1.6218936216236874,2182.085354006316
1454,46.0,Female,Student,4.8,1.75,2447.0
9239,66.0,Female,Self-Employed,4.262433805097739,1.6979843282690783,2453.381864048661
7984,42.0,Male,Healthcare,8.18766786744438,1.6434076875593455,2656.996641318907
